google_type,assignment,score
fast_food_restaurant,Expenses.Food.Fast,40
accounting,Expense.Services.Accounting,30
airport,Expense.Travel,20
amusement_park,Expense.Entertainment.Recreation,30
aquarium,Expense.Entertainment.Recreation,30
art_gallery,Expense.Entertainment.Museum,30
atm,Expense.Cash,10
bakery,Expense.Food.Bakery,30
bank,Expense.Services.Banking,20
bar,Expense.Food.Bar,20
beauty_salon,Expense.Services.Hairstyling,30
bicycle_store,Expense.Travel.Bike,30
book_store,Expense.Merchandise.Books,30
boutique,Expense.Merchandise.Gift,30
bowling_alley,Expense.Entertainment.Recreation,30
bus_station,Expense.Travel.Transit,30
butcher_shop,Expense.Food.Grocery,30
cafe,Expense.Food.Restaurant,30
campground,Expense.Entertainment.Camping,30
car_dealer,Expense.Auto.Purchase,30
car_rental,Expense.Auto.CarRental,30
car_repair,Expense.Auto.Service,30
car_wash,Expense.Auto.CarWash,30
casino,Expense.Entertainment.Gaming,30
cemetery,Expense.Family,30
church,Expense.Charity.Church,30
city_hall,Expense.Other.Municipal,20
clothing_store,Expense.Merchandise.Clothing,30
convenience_store,Expense.Food.Snack,30
courthouse,Expense.Other.Municipal,20
craft_store,Expense.Merchandise.Toy,30
dentist,Expense.Dental.Clinic,30
department_store,Expense.Merchandise,20
doctor,Expense.Medical.Clinic,30
drugstore,Expense.Medical.Pharmacy,30
electrician,Expense.Home.Electrical,30
electronics_store,Expense.Merchandise.Electronics,30
embassy,Expense.Other.Embassy,30
fire_station,Expense.Other.Municipal,30
florist,Expense.Merchandise.Flowers,30
funeral_home,Expense.Family.Funeral,30
furniture_store,Expense.Merchandise.Furniture,30
gas_station,Expense.Auto.Gas,20
gift_shop,Expense.Merchandise.Gift,30
gym,Expense.Health.Fitness,30
hair_care,Expense.Services.Hairstyling,30
hardware_store,Expense.Merchandise.Hardware,30
hindu_temple,Expense.Charity.Church,30
home_goods_store,Expense.Home.Merchandise,20
hospital,Expense.Medical.Clinic,30
ice_cream_shop,Expense.Food.Snack,30
insurance_agency,Expense.Services.Insurance,30
jewelry_store,Expense.Merchandise.Jewelry,30
juice_shop,Expense.Food.Snack,30
laundry,Expense.Services.ClothesCleaning,30
library,Expense.Charity,30
light_rail_station,Expense.Travel.Transit,20
liquor_store,Expense.Food.Liquor,20
local_government_office,Expense.Other.Municipal,20
locksmith,Expense.Services.Locksmith,30
lodging,Expense.Travel.Lodging,30
meal_delivery,Expense.Food.Delivery,30
meal_takeaway,Expense.Food.Fast,30
mosque,Expense.Charity.Church,30
movie_theater,Expense.Entertainment.Movies,30
moving_company,Expense.Home.Moving,30
museum,Expense.Entertainment.Museum,30
night_club,Expense.Food.Bar,30
painter,Expense.Services.Painting,30
park,Expense.Entertainment,20
parking,Expense.Travel.Parking,30
pet_groomer,Expense.PetCare,30
pet_store,Expense.PetCare,30
pharmacy,Expense.Medical.Pharmacy,30
physician,Expense.Medical.Clinic,30
physiotherapist,Expense.Medical.Clinic,30
plumber,Expense.Services.Plumbing,30
police,Expense.Other.Municipal,30
post_office,Expense.Other.Postage,30
primary_school,Expense.Tuition,30
real_estate_agency,Expense.Services.RealEstate,30
restaurant,Expense.Food.Restaurant,30
roofing_contractor,Expense.Servicces.Roofing,30
rv_park,Expense.Entertainment,30
school,Expense.Education.Tuition,30
seafood_restaurant,Expense.Food.Restaurant,40
secondary_school,Expense.Tuition,30
shoe_store,Expense.Merchandise.Shoes,30
shopping_mall,Expense.Merchandise,10
spa,Expense.Services.Spa,20
stadium,Expense.Entertainment.Concessions,20
storage,Expense.Home.Storage,20
store,Expense.Merchandise,10
subway_station,Expense.Travel.Transit,20
supermarket,Expense.Food.Grocery,20
synagogue,Expense.Charity.Church,30
taxi_stand,Expense.Travel.Taxi,30
tea_house,Expense.Food.Snack,30
thrift_store,Expense.Merchandise,30
tire_shop,Expense.Auto.Repair,30
tourist_attraction,Expense.Entertainment,20
train_station,Expense.Travel.Transit,20
transit_station,Expense.Travel.Transit,20
travel_agency,Expense.Travel.Planning,20
university,Expense.Charity,30
veterinary_care,Expense.PetCare.Veterinary,30
zoo,Expense.Entertainment.Recreation,30